epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.74,1.26627,4.35411,1.7906,0.00328,1,0.23305,0.20874,0.26969,3.33382,0.62606,0.00012861,0.00012861,0.00012861
2,195.255,0.25952,2.74687,1.03488,0.00325,1,0.36609,0.34407,0.26534,3.16655,0.55884,0.000244631,0.000244631,0.000244631
3,288.281,0.21727,2.20429,0.96421,0.00338,0.99875,0.29055,0.27479,0.34134,3.20593,0.67021,0.000332357,0.000332357,0.000332357
4,375.204,0.20568,1.81919,0.93449,0.93591,0.04987,0.36229,0.33527,0.37486,3.15154,0.69622,0.000391789,0.000391789,0.000391789
5,460.081,0.19523,1.74918,0.93676,0.8798,0.28763,0.34252,0.32552,0.31258,2.85045,0.60697,0.000422927,0.000422927,0.000422927
6,543.011,0.18231,1.55906,0.93784,0.84584,0.45467,0.50573,0.43814,0.33963,2.68504,0.6448,0.000425771,0.000425771,0.000425771
7,627.265,0.16308,1.45178,0.90913,0.84315,0.31058,0.32179,0.27733,0.34113,2.71815,0.60328,0.00040032,0.00040032,0.00040032
8,711.009,0.15064,1.38538,0.88908,0.69194,0.45233,0.45293,0.43099,0.26169,2.67477,0.51241,0.000346575,0.000346575,0.000346575
9,792.963,0.14324,1.29431,0.93318,0.78575,0.51431,0.54592,0.53358,0.28224,2.48728,0.55398,0.000264536,0.000264536,0.000264536
10,874.723,0.13935,1.27281,0.89725,0.73442,0.55303,0.57747,0.5681,0.27728,2.42893,0.57126,0.000154203,0.000154203,0.000154203
